file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/work/Papiere/finegrained-traceability/datasets/smos/code/AdattatoreEccezione.java,smos.storage.connectionManagement.exception.AdattatoreEccezione,class,1,5,5,1,10,0.0,0.0,5,1,4,1,0,0,4,0,0,0,1,1,0,1,0,0,1,0,3,18,1,0,0,0,0,1,1,1,2,1,0,0,0,0,26,1,0
/work/Papiere/finegrained-traceability/datasets/smos/code/Ambiente.java,smos.Ambiente,class,0,2,1,0,0,1.0,1.0,2,2,2,0,0,0,2,0,0,0,2,2,1,1,0,0,0,0,0,10,1,0,0,0,0,2,0,3,0,2,0,0,0,0,35,1,0
/work/Papiere/finegrained-traceability/datasets/smos/code/Assenza.java,smos.bean.Assenza,class,0,11,1,0,45,0.09090909,0.09090909,11,0,11,0,0,0,11,0,0,0,6,1,0,6,0,0,1,0,0,40,5,0,0,0,0,0,1,6,0,6,0,0,0,0,60,1,0
/work/Papiere/finegrained-traceability/datasets/smos/code/AutorizzazioneEccezione.java,smos.exception.AutorizzazioneEccezione,class,0,2,3,0,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,1,1,1,0,1,0,0,0,0,39,1,0
/work/Papiere/finegrained-traceability/datasets/smos/code/CampoObbligatorioEccezione.java,smos.exception.CampoObbligatorioEccezione,class,0,2,3,0,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,1,1,1,0,1,0,0,0,0,38,1,0
/work/Papiere/finegrained-traceability/datasets/smos/code/Classe.java,smos.bean.Classe,class,0,10,1,0,15,0.33333334,1.0,10,0,10,0,0,0,10,0,0,0,5,1,0,5,0,0,1,0,0,38,5,0,0,0,1,2,3,7,1,5,0,0,0,0,50,1,0
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneEccezione.java,smos.exception.ConnessioneEccezione,class,0,2,3,0,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,1,1,1,0,1,0,0,0,0,42,1,0
/work/Papiere/finegrained-traceability/datasets/smos/code/ConnessioneWrapper.java,smos.storage.connectionManagement.ConnessioneWrapper,class,3,46,1,52,0,0.8974359,0.9012821,43,0,38,3,1,1,40,0,0,1,5,2,0,5,0,0,2,0,1,185,27,1,1,0,1,5,2,7,1,7,1,0,0,0,114,1,0
/work/Papiere/finegrained-traceability/datasets/smos/code/ControlloConnessione.java,smos.storage.connectionManagement.ControlloConnessione,class,1,9,2,10,0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,2,0,2,0,0,0,0,2,45,0,2,1,2,0,4,2,7,2,4,5,0,0,0,102,1,0
/work/Papiere/finegrained-traceability/datasets/smos/code/DBConnessione.java,smos.storage.connectionManagement.DBConnessione,class,5,16,1,20,0,0.33333334,0.33333334,3,3,2,1,0,0,3,0,0,0,11,11,0,11,0,0,0,0,27,107,2,0,0,7,0,20,4,43,2,12,3,0,0,0,107,1,0
/work/Papiere/finegrained-traceability/datasets/smos/code/EliminaAmministratoreEccezione.java,smos.exception.EliminaAmministratoreEccezione,class,0,2,3,0,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,1,1,1,0,1,0,0,0,0,43,1,0
/work/Papiere/finegrained-traceability/datasets/smos/code/EliminaManagerEccezione.java,smos.exception.EliminaManagerEccezione,class,0,2,3,0,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,1,1,1,0,1,0,0,0,0,41,1,0
/work/Papiere/finegrained-traceability/datasets/smos/code/EntitaDuplicataEccezione.java,smos.exception.EntitaDuplicataEccezione,class,0,2,3,0,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,1,1,1,0,1,0,0,0,0,40,1,0
